classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7463,-111.969,-0.551,15.280,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7463,-111.296,-0.551,16.328,-2.09416,-1.864,1.864,-2.053,-0.734,1.508
7463,-112.590,-0.551,16.355,2.09416,-1.864,1.864,-2.053,-0.734,1.508
7744,-111.953,0.665,13.567,0.00000,-0.619,0.619,-0.062,0.212,0.428
7744,-109.821,0.665,17.198,-2.09407,-0.619,0.619,-0.062,0.212,0.428
7744,-114.081,0.665,17.197,2.09408,-0.619,0.619,-0.062,0.212,0.428
7465,-112.038,4.286,14.730,0.00000,-0.619,0.619,-0.062,0.212,0.428
7465,-112.032,4.286,17.279,3.14159,-0.619,0.619,-0.062,0.212,0.428
7465,-113.279,4.287,15.967,1.57046,-0.619,0.619,-0.062,0.212,0.428
7465,-110.730,4.287,15.962,-1.57046,-0.619,0.619,-0.062,0.212,0.428
7466,-108.217,1.471,22.646,0.52167,-0.355,0.355,-0.050,0.200,0.413
7466,-109.517,1.471,23.393,0.52167,-0.355,0.355,-0.050,0.200,0.413
7743,-108.995,0.669,22.791,0.52169,-0.619,0.619,-0.062,0.212,0.428
7744,-107.695,0.669,22.044,0.52170,-0.619,0.619,-0.062,0.212,0.428
7463,-107.481,-0.520,23.919,0.52169,-1.864,1.864,-2.053,-0.734,1.508
7466,-114.471,1.483,23.352,-0.52214,-0.355,0.355,-0.050,0.200,0.413
7466,-115.771,1.483,22.604,-0.52215,-0.355,0.355,-0.050,0.200,0.413
7465,-114.988,0.681,22.753,-0.52217,-0.619,0.619,-0.062,0.212,0.428
7744,-116.288,0.681,22.005,-0.52217,-0.619,0.619,-0.062,0.212,0.428
7463,-116.502,-0.508,23.880,-0.52217,-1.864,1.864,-2.053,-0.734,1.508
20615,-114.973,-0.522,21.198,2.35619,-1.009,1.011,-0.509,0.965,1.979
7744,-114.252,0.848,117.055,-0.78504,-0.619,0.619,-0.062,0.212,0.428
7466,-114.964,1.169,116.683,-0.78505,-0.355,0.355,-0.050,0.200,0.413
10421,-115.740,-0.367,117.990,-0.78512,-0.739,0.739,-2.053,-0.735,1.508
7466,-111.910,1.166,117.044,-0.00000,-0.355,0.355,-0.050,0.200,0.413
7744,-109.705,0.829,117.032,0.78510,-0.619,0.619,-0.062,0.212,0.428
7466,-109.017,1.149,116.683,0.78511,-0.355,0.356,-0.050,0.200,0.413
